review,category,sub_category
dar por que pedir algum suportar suportar faltar,Atendimento,Abandono Comercial
assistencia,Atendimento,Abandono Comercial
olhar noite noto poder coisa despontar longo ano varios pedir assistencia atender ter felipe regiao eramos atender ultimamente vestir assistencia ter maquina dizer assistencia felipe sair regiao outro dia maquina realizar pag maneiro fazer procedimento pedir demorar pra funcionar motivo abracod,Atendimento,Abandono Comercial
entrar contato voce nao dar retornar atar hoje,Atendimento,Abandono Comercial
acompanhamento empresar manutencao maquina papel mau qualidade gerar via cliente rasgar,Atendimento,Abandono Comercial
assistencia,Atendimento,Abandono Comercial
falto assistencia regente regional,Atendimento,Abandono Comercial
representacao pra informar antecipacao fazer gostar retornar urgentemente,Atendimento,Abandono Comercial
atendimento,Atendimento,Abandono Comercial
ha tempo visitar,Atendimento,Abandono Comercial
comprometimento atendimento comercial vir portar prometer mundo fundo ser ligar falar mudar falar comercial regiao,Atendimento,Abandono Comercial
agendar visitar algum representante dezembro ninguem vir,Atendimento,Abandono Comercial
maquina estragar conseguir falar ninguem,Atendimento,Abandono Comercial
ha motivar noto motivar comedir representates tudo gente virar parceiro passar ja ficar aquecimento taxar cobranca voltar concorrente afim igual mudo nome operador maquinar cartao noit,Atendimento,Abandono Comercial
atencao,Atendimento,Abandono Comercial
antigo vendedor atender,Atendimento,Abandono Comercial
suportar fonte maquina estragar suportar,Atendimento,Abandono Comercial
atencao,Atendimento,Abandono Comercial
nao conseguir contato,Atendimento,Abandono Comercial
relacionamento humanar,Atendimento,Abandono Comercial
presenca,Atendimento,Abandono Comercial
representante ativo parir resolver duvidar aparecer,Atendimento,Abandono Comercial
atendimento presencial,Atendimento,Abandono Comercial
precisar falar representante voce urgente,Atendimento,Abandono Comercial
dificuldade negociar taxar emprestimo,Atendimento,Abandono Comercial
dar gostar receber visitar representante mostrar novidade ordem,Atendimento,Abandono Comercial
dia pessoa atender precisar pessoa vir empresar conversar,Atendimento,Abandono Comercial
motivo visitar estabelecimento atencao tirar duvidar so online conseguir resolver problema,Atendimento,Abandono Comercial
assistencia algum comecar trabalhar representante vir semana pra ligar ter algum problema,Atendimento,Abandono Comercial
conseguir visitar fornecedor,Atendimento,Abandono Comercial
receber visitar comunicacao empresar deixar acumulo duvida serio credito contar,Atendimento,Abandono Comercial
trabalhar operador representante stone vir atar estabelecimento semana apo migrar nao vir nao responder mensagem haver fazer promessa nao cobrar,Atendimento,Abandono Comercial
pessoa mi atender comedir banco oferecer cartao credito continuar pagar aluguel maquininha,Atendimento,Abandono Comercial
maquina travamento constante aluguel maquina caro relacionar meter vender pandemia dificuldade girar respostar suportar contato empresar estar procurar alternativo trocar maquina,Atendimento,Abandono Comercial
precisar alguem presentar,Atendimento,Abandono Comercial
ter contato representante ativacao maquina sequer passar estabelecimento pra ordem cotar empresar ir tirar stone loja,Atendimento,Abandono Comercial
esperar atendimento loja nenhum representante vir atender sanar duvida problema,Atendimento,Abandono Comercial
atendimento gerente contar falhar,Atendimento,Abandono Comercial
acompanhamento pos vender produto,Atendimento,Abandono Comercial
interacao cliente nescessidades bobinar receber stone trabalhar bobinar bandeiro,Atendimento,Abandono Comercial
atencao cliente,Atendimento,Abandono Comercial
bostar tomate hoje aguardar respostar gerente cidade acabar maquina chegar,Atendimento,Abandono Comercial
